pt_index,mean_p_residual_lossless,mean_p_residual_full_y
143876,1.6294837911702449,1.6154807820443662
144503,1.55415085382811,1.542566446803359
146163,1.841788027277823,1.8306061676458383
146297,1.5800043872206528,1.5676580070480246
146333,1.5060713297861676,1.5017284732888998
146361,1.4873642358323858,1.4673123867652564
146727,1.887375294918897,1.8440427883569528
146766,1.732407826774433,1.727131216080787
146819,1.6356795864143865,1.6263999750996947
146829,1.6421012990904253,1.6273130270531104
146909,1.361855560105997,1.3497119942777627
147084,1.5064074871356874,1.4917127855113235
147213,1.682448891669269,1.6063233603348648
147384,1.9018229516960448,1.8892561279796134
147406,1.7498712475384515,1.6716169528785594
147445,1.4756821130729114,1.4675667258313838
147549,1.2670971939661941,1.2296493567877864
147684,1.5314554344699358,1.4559215943605077
148051,1.6534539690678594,1.568313624394651
148477,2.0434954832620758,2.0415712567802062
148879,1.6014642423956167,1.5934423849793449
149059,2.0614927160433676,2.028205358566119
149084,1.898576494599984,1.8186770820127585
149427,1.483991221463363,1.3938035374789153
149999,1.647478811242945,1.5644445997329062
150041,1.5679526639267,1.5563646604484411
150604,1.6167973553913604,1.5362606652260395
150637,1.731622838170312,1.7268932656992253
151527,1.6817234291830538,1.674502241319959
151755,1.2951231189173769,1.281003432234133
151760,1.2957966517796633,1.281813472318929
151850,1.3089621220552077,1.2278993949065762
152341,1.231808639606591,1.2266073858161535
152406,1.6555915998027164,1.63087787737402
